method,num_points,accuracy
k-means,10,0.8
gmm,10,0.8
kernel k-groups,10,0.8
k-means,30,0.8
gmm,30,0.866666666667
kernel k-groups,30,0.8
k-means,50,0.7
gmm,50,0.86
kernel k-groups,50,0.7
k-means,70,0.842857142857
gmm,70,0.928571428571
kernel k-groups,70,0.842857142857
k-means,90,0.866666666667
gmm,90,0.888888888889
kernel k-groups,90,0.888888888889
k-means,110,0.754545454545
gmm,110,0.890909090909
kernel k-groups,110,0.772727272727
k-means,130,0.753846153846
gmm,130,0.807692307692
kernel k-groups,130,0.776923076923
k-means,150,0.786666666667
gmm,150,0.88
kernel k-groups,150,0.793333333333
k-means,170,0.741176470588
gmm,170,0.829411764706
kernel k-groups,170,0.776470588235
k-means,190,0.742105263158
gmm,190,0.805263157895
kernel k-groups,190,0.805263157895
k-means,210,0.757142857143
gmm,210,0.890476190476
kernel k-groups,210,0.833333333333
k-means,230,0.795652173913
gmm,230,0.869565217391
kernel k-groups,230,0.821739130435
k-means,250,0.768
gmm,250,0.884
kernel k-groups,250,0.792
k-means,270,0.77037037037
gmm,270,0.888888888889
kernel k-groups,270,0.811111111111
k-means,290,0.8
gmm,290,0.875862068966
kernel k-groups,290,0.824137931034
k-means,310,0.770967741935
gmm,310,0.8
kernel k-groups,310,0.793548387097
k-means,330,0.784848484848
gmm,330,0.890909090909
kernel k-groups,330,0.824242424242
k-means,350,0.745714285714
gmm,350,0.857142857143
kernel k-groups,350,0.797142857143
k-means,370,0.77027027027
gmm,370,0.875675675676
kernel k-groups,370,0.8
k-means,390,0.769230769231
gmm,390,0.894871794872
kernel k-groups,390,0.802564102564
k-means,410,0.751219512195
gmm,410,0.863414634146
kernel k-groups,410,0.812195121951
k-means,430,0.755813953488
gmm,430,0.883720930233
kernel k-groups,430,0.788372093023
k-means,450,0.757777777778
gmm,450,0.893333333333
kernel k-groups,450,0.824444444444
k-means,470,0.782978723404
gmm,470,0.889361702128
kernel k-groups,470,0.814893617021
k-means,490,0.812244897959
gmm,490,0.881632653061
kernel k-groups,490,0.834693877551
k-means,510,0.727450980392
gmm,510,0.747058823529
kernel k-groups,510,0.76862745098
k-means,530,0.771698113208
gmm,530,0.856603773585
kernel k-groups,530,0.78679245283
k-means,550,0.754545454545
gmm,550,0.870909090909
kernel k-groups,550,0.810909090909
k-means,570,0.789473684211
gmm,570,0.875438596491
kernel k-groups,570,0.842105263158
k-means,590,0.767796610169
gmm,590,0.894915254237
kernel k-groups,590,0.794915254237
k-means,610,0.775409836066
gmm,610,0.873770491803
kernel k-groups,610,0.798360655738
k-means,630,0.801587301587
gmm,630,0.895238095238
kernel k-groups,630,0.819047619048
k-means,650,0.773846153846
gmm,650,0.884615384615
kernel k-groups,650,0.812307692308
k-means,670,0.767164179104
gmm,670,0.877611940299
kernel k-groups,670,0.794029850746
k-means,690,0.747826086957
gmm,690,0.859420289855
kernel k-groups,690,0.779710144928
k-means,710,0.746478873239
gmm,710,0.77323943662
kernel k-groups,710,0.77323943662
k-means,730,0.801369863014
gmm,730,0.87397260274
kernel k-groups,730,0.821917808219
k-means,750,0.734666666667
gmm,750,0.861333333333
kernel k-groups,750,0.762666666667
k-means,770,0.753246753247
gmm,770,0.75974025974
kernel k-groups,770,0.777922077922
k-means,790,0.743037974684
gmm,790,0.875949367089
kernel k-groups,790,0.772151898734
k-means,10,0.8
gmm,10,0.6
kernel k-groups,10,0.8
k-means,30,0.766666666667
gmm,30,0.766666666667
kernel k-groups,30,0.766666666667
k-means,50,0.84
gmm,50,0.8
kernel k-groups,50,0.84
k-means,70,0.828571428571
gmm,70,0.885714285714
kernel k-groups,70,0.842857142857
k-means,90,0.822222222222
gmm,90,0.866666666667
kernel k-groups,90,0.822222222222
k-means,110,0.745454545455
gmm,110,0.918181818182
kernel k-groups,110,0.845454545455
k-means,130,0.761538461538
gmm,130,0.838461538462
kernel k-groups,130,0.784615384615
k-means,150,0.78
gmm,150,0.893333333333
kernel k-groups,150,0.806666666667
k-means,170,0.788235294118
gmm,170,0.888235294118
kernel k-groups,170,0.811764705882
k-means,190,0.778947368421
gmm,190,0.789473684211
kernel k-groups,190,0.815789473684
k-means,210,0.780952380952
gmm,210,0.8
kernel k-groups,210,0.8
k-means,230,0.773913043478
gmm,230,0.860869565217
kernel k-groups,230,0.795652173913
k-means,250,0.76
gmm,250,0.844
kernel k-groups,250,0.772
k-means,270,0.777777777778
gmm,270,0.888888888889
kernel k-groups,270,0.837037037037
k-means,290,0.806896551724
gmm,290,0.927586206897
kernel k-groups,290,0.81724137931
k-means,310,0.748387096774
gmm,310,0.741935483871
kernel k-groups,310,0.758064516129
k-means,330,0.745454545455
gmm,330,0.748484848485
kernel k-groups,330,0.751515151515
k-means,350,0.748571428571
gmm,350,0.865714285714
kernel k-groups,350,0.811428571429
k-means,370,0.772972972973
gmm,370,0.894594594595
kernel k-groups,370,0.797297297297
k-means,390,0.792307692308
gmm,390,0.902564102564
kernel k-groups,390,0.815384615385
k-means,410,0.814634146341
gmm,410,0.829268292683
kernel k-groups,410,0.846341463415
k-means,430,0.797674418605
