method,num_points,accuracy
k-means,10,0.8
gmm,10,0.8
kernel k-groups,10,0.8
k-means,30,0.633333333333
gmm,30,0.633333333333
kernel k-groups,30,0.633333333333
k-means,50,0.52
gmm,50,0.52
kernel k-groups,50,0.86
k-means,70,0.842857142857
gmm,70,0.771428571429
kernel k-groups,70,0.871428571429
k-means,90,0.611111111111
gmm,90,0.611111111111
kernel k-groups,90,0.611111111111
k-means,110,0.545454545455
gmm,110,0.545454545455
kernel k-groups,110,0.545454545455
k-means,130,0.692307692308
gmm,130,0.769230769231
kernel k-groups,130,0.830769230769
k-means,150,0.5
gmm,150,0.5
kernel k-groups,150,0.84
k-means,170,0.517647058824
gmm,170,0.517647058824
kernel k-groups,170,0.535294117647
k-means,190,0.547368421053
gmm,190,0.578947368421
kernel k-groups,190,0.547368421053
k-means,210,0.590476190476
gmm,210,0.590476190476
kernel k-groups,210,0.861904761905
k-means,230,0.508695652174
gmm,230,0.508695652174
kernel k-groups,230,0.508695652174
k-means,250,0.536
gmm,250,0.536
kernel k-groups,250,0.832
k-means,270,0.525925925926
gmm,270,0.525925925926
kernel k-groups,270,0.855555555556
k-means,290,0.534482758621
gmm,290,0.544827586207
kernel k-groups,290,0.806896551724
k-means,310,0.522580645161
gmm,310,0.558064516129
kernel k-groups,310,0.832258064516
k-means,330,0.830303030303
gmm,330,0.784848484848
kernel k-groups,330,0.860606060606
k-means,350,0.514285714286
gmm,350,0.514285714286
kernel k-groups,350,0.822857142857
k-means,370,0.527027027027
gmm,370,0.548648648649
kernel k-groups,370,0.808108108108
k-means,390,0.523076923077
gmm,390,0.528205128205
kernel k-groups,390,0.835897435897
k-means,410,0.50487804878
gmm,410,0.512195121951
kernel k-groups,410,0.80487804878
k-means,430,0.532558139535
gmm,430,0.53488372093
kernel k-groups,430,0.867441860465
k-means,450,0.524444444444
gmm,450,0.508888888889
kernel k-groups,450,0.813333333333
k-means,470,0.517021276596
gmm,470,0.51914893617
kernel k-groups,470,0.814893617021
k-means,490,0.55306122449
gmm,490,0.573469387755
kernel k-groups,490,0.836734693878
k-means,510,0.537254901961
gmm,510,0.547058823529
kernel k-groups,510,0.862745098039
k-means,530,0.511320754717
gmm,530,0.535849056604
kernel k-groups,530,0.824528301887
k-means,550,0.556363636364
gmm,550,0.554545454545
kernel k-groups,550,0.872727272727
k-means,570,0.512280701754
gmm,570,0.526315789474
kernel k-groups,570,0.833333333333
k-means,590,0.520338983051
gmm,590,0.523728813559
kernel k-groups,590,0.871186440678
k-means,610,0.518032786885
gmm,610,0.531147540984
kernel k-groups,610,0.86393442623
k-means,630,0.51746031746
gmm,630,0.52380952381
kernel k-groups,630,0.82380952381
k-means,650,0.504615384615
gmm,650,0.523076923077
kernel k-groups,650,0.836923076923
k-means,670,0.549253731343
gmm,670,0.565671641791
kernel k-groups,670,0.873134328358
k-means,690,0.521739130435
gmm,690,0.542028985507
kernel k-groups,690,0.85652173913
k-means,710,0.511267605634
gmm,710,0.514084507042
kernel k-groups,710,0.829577464789
k-means,730,0.501369863014
gmm,730,0.501369863014
kernel k-groups,730,0.501369863014
k-means,750,0.518666666667
gmm,750,0.518666666667
kernel k-groups,750,0.518666666667
k-means,770,0.512987012987
gmm,770,0.505194805195
kernel k-groups,770,0.833766233766
k-means,790,0.522784810127
gmm,790,0.543037974684
kernel k-groups,790,0.86582278481
k-means,10,0.9
gmm,10,0.9
kernel k-groups,10,0.9
k-means,30,0.733333333333
gmm,30,0.733333333333
kernel k-groups,30,0.833333333333
k-means,50,0.86
gmm,50,0.54
kernel k-groups,50,0.9
k-means,70,0.628571428571
gmm,70,0.628571428571
kernel k-groups,70,0.842857142857
k-means,90,0.611111111111
gmm,90,0.622222222222
kernel k-groups,90,0.611111111111
k-means,110,0.809090909091
gmm,110,0.609090909091
kernel k-groups,110,0.836363636364
k-means,130,0.523076923077
gmm,130,0.538461538462
kernel k-groups,130,0.8
k-means,150,0.5
gmm,150,0.5
kernel k-groups,150,0.5
k-means,170,0.523529411765
gmm,170,0.517647058824
kernel k-groups,170,0.858823529412
k-means,190,0.531578947368
gmm,190,0.505263157895
kernel k-groups,190,0.847368421053
k-means,210,0.519047619048
gmm,210,0.519047619048
kernel k-groups,210,0.519047619048
k-means,230,0.534782608696
gmm,230,0.534782608696
kernel k-groups,230,0.821739130435
k-means,250,0.516
gmm,250,0.532
kernel k-groups,250,0.832
k-means,270,0.522222222222
gmm,270,0.540740740741
kernel k-groups,270,0.522222222222
k-means,290,0.506896551724
gmm,290,0.537931034483
kernel k-groups,290,0.506896551724
k-means,310,0.509677419355
gmm,310,0.51935483871
kernel k-groups,310,0.509677419355
k-means,330,0.506060606061
gmm,330,0.527272727273
kernel k-groups,330,0.848484848485
k-means,350,0.511428571429
gmm,350,0.534285714286
kernel k-groups,350,0.854285714286
k-means,370,0.510810810811
gmm,370,0.510810810811
kernel k-groups,370,0.862162162162
k-means,390,0.541025641026
gmm,390,0.541025641026
kernel k-groups,390,0.866666666667
k-means,410,0.512195121951
gmm,410,0.524390243902
kernel k-groups,410,0.848780487805
k-means,430,0.502325581395
